,Site - Sales Organization (Code),Site - Sales Organization (Text),Site No,Site Name,EDI Number,Street Name,Town,State,Post Code,Store Mgr,Telephone,Fax Number,Store opened,Liquor License,Address,Location,Point
215,1005,Woolworths Smkt,1245,Raymond Terrace Market Place,9300633012458,Cnr Port Stephens and Bourke Streets,Raymond Terrace,New South Wales,2324,Craig Berwick,02 4983 7007,,29.11.1998,,"Cnr Port Stephens and Bourke Streets, Raymond Terrace, New South Wales 2324 Australia","Port Stephens St & Bourke St, Raymond Terrace, New South Wales, 2324","(-32.75983500190071, 151.744239992343, 0.0)"
216,1005,Woolworths Smkt,1248,Town Hall,9300633012489,Cnr Park and George Streets,Sydney,New South Wales,2000,Richard Morgan,02 8565 9275,,25.06.2001,,"Cnr Park and George Streets, Sydney, New South Wales 2000 Australia","Park St & George St, Sydney, New South Wales, 2000","(-33.872969995193635, 151.20697998963624, 0.0)"
217,1005,Woolworths Smkt,1249,Thornleigh,9300633012496,2 The Comenarra Parkway,Thornleigh,New South Wales,2120,Mahbooheh Fararoui,02 9450 6709,,23.06.2005,,"2 The Comenarra Parkway, Thornleigh, New South Wales 2120 Australia","2 The Comenarra Pkwy, Thornleigh, Sydney, New South Wales, 2120","(-33.73093635102996, 151.0813726000147, 0.0)"
218,1005,Woolworths Smkt,1250,Merimbula,9300633012502,111 Main Street,Merimbula,New South Wales,2548,,02 6497 6006,,21.11.2018,,"111 Main Street, Merimbula, New South Wales 2548 Australia","111 Main St, Merimbula, New South Wales, 2548","(-36.886382455418996, 149.90927353962758, 0.0)"
219,1005,Woolworths Smkt,1251,Berala,9300633012519,15-16 Woodburn Road,Berala,New South Wales,2141,,02 8565 9286,,09.08.2012,,"15-16 Woodburn Road, Berala, New South Wales 2141 Australia","16 Woodburn Rd, Lidcombe, Sydney, New South Wales, 2141","(-33.86331722785873, 151.0359267196785, 0.0)"
220,1005,Woolworths Smkt,1252,Rockdale,9300633012526,Princes Hwy and Rockdale Plaza Drive,Rockdale,New South Wales,2216,Jim Cruickshank,02 8565 9260,,27.10.1997,,"Princes Hwy and Rockdale Plaza Drive, Rockdale, New South Wales 2216 Australia","Princes Hwy & Rockdale Plaza Dr, Rockdale, Sydney, New South Wales, 2216","(-33.95709999555587, 151.13782995899106, 0.0)"
221,1005,Woolworths Smkt,1253,Armidale,9300633012533,Cnr Jessie and Beardy Streets,Armidale,New South Wales,2350,Jon Bartlett,02 6771 8002,,16.11.2007,,"Cnr Jessie and Beardy Streets, Armidale, New South Wales 2350 Australia","Jessie St & Beardy St, Armidale, New South Wales, 2350","(-30.512640013132543, 151.66366002134217, 0.0)"
222,1005,Woolworths Smkt,1254,Temora,9300633012540,104-110 Hoskins Street,Temora,New South Wales,2666,Nora Saffiotti,02 6977 5050,,16.12.1996,,"104-110 Hoskins Street, Temora, New South Wales 2666 Australia","110 Hoskins St, Temora, New South Wales, 2666","(-34.443909239230635, 147.5320212112423, 0.0)"
223,1005,Woolworths Smkt,1257,Eastlakes,9300633012571,"Shop 10, Bkk S/centre, Evans Avenue",Eastlakes,New South Wales,2018,George Zikas,02 8565 9215,,25.01.1967,,"Shop 10, Bkk S/centre, Evans Avenue, Eastlakes, New South Wales 2018 Australia","Evans Ave, Eastlakes, Sydney, New South Wales, 2018","(-33.924573841098685, 151.20900303643003, 0.0)"
224,1005,Woolworths Smkt,1258,Merrylands,9300633012588,209 Pitt Street,Merrylands,New South Wales,2160,,02 8633 2944,,05.10.2012,,"209 Pitt Street, Merrylands, New South Wales 2160 Australia","209 Pitt St, Merrylands, Sydney, New South Wales, 2160","(-33.835496601572025, 150.99131772806464, 0.0)"
225,1005,Woolworths Smkt,1259,Glen Innes,9300633012595,128-134 Grey St,Glen Innes,New South Wales,2370,Craig Vogt,02 6739 7000,,17.10.2008,,"128-134 Grey St, Glen Innes, New South Wales 2370 Australia","128-134 Grey St, Glen Innes, New South Wales, 2370","(-29.741834644108003, 151.73427160444402, 0.0)"
226,1005,Woolworths Smkt,1261,Kippax,9300633012618,Kippax Fair Hardwick Crescent,Holt,Aust Capital Terr,2615,Jason Chant,02 6132 9840,,02.07.1996,,"Kippax Fair Hardwick Crescent, Holt, Aust Capital Terr 2615 Australia","Hardwick Cres, Holt, Canberra, Australian Capital Territory, 2615","(-35.225146151955485, 149.02177191316957, 0.0)"
227,1005,Woolworths Smkt,1262,Glenrose,9300633012625,Cnr Glen and Lockwood Avenue,Belrose,New South Wales,2085,,02 8565 9344,,17.06.2016,,"Cnr Glen and Lockwood Avenue, Belrose, New South Wales 2085 Australia","Glen St & Lockwood Ave, Belrose, Sydney, New South Wales, 2085","(-33.740489992192245, 151.2088000360917, 0.0)"
228,1005,Woolworths Smkt,1268,Cowra,9300633012687,3-9 Railway Lane,Cowra,New South Wales,2794,Matthew Deverell,02 6349 8120,,14.06.1983,,"3-9 Railway Lane, Cowra, New South Wales 2794 Australia","3-9 Railway Lane, Cowra, New South Wales, 2794","(-33.836350507958024, 148.6922525468712, 0.0)"
229,1005,Woolworths Smkt,1269,Engadine,9300633012694,Cnr Princes Hwy and Waratah Street,Engadine,New South Wales,2233,Chris Thomasz,02 9548 7100,,14.07.1966,,"Cnr Princes Hwy and Waratah Street, Engadine, New South Wales 2233 Australia","Old Princes Hwy & Waratah Rd, Engadine, Sydney, New South Wales, 2233","(-34.064619990095785, 151.01367000071969, 0.0)"
230,1005,Woolworths Smkt,1272,The Ponds,9300633012724,Cnr Ponds Blvd and Riverbank Drive,The Ponds,New South Wales,2769,Nick Ciolac,02 9677 6462,,28.05.2015,,"Cnr Ponds Blvd and Riverbank Drive, The Ponds, New South Wales 2769 Australia","The Ponds Blvd & Riverbank Dr, The Ponds, Sydney, New South Wales, 2769","(-33.70577998631903, 150.91259003193704, 0.0)"
231,1005,Woolworths Smkt,1273,Wagga Wagga North,9300633012731,30 Gurwood Street,Wagga Wagga,New South Wales,2650,Deirdre Hunter,02 6932 5105,,01.07.1996,,"30 Gurwood Street, Wagga Wagga, New South Wales 2650 Australia","30 Gurwood St, Wagga Wagga, New South Wales, 2650","(-35.10636683791241, 147.3687174298655, 0.0)"
232,1005,Woolworths Smkt,1274,Narooma,9300633012748,Cnr Princess Hwy and Willcocks Ave,Narooma,New South Wales,2546,,02 4473 3003,,13.11.2019,,"Cnr Princess Hwy and Willcocks Ave, Narooma, New South Wales 2546 Australia","Princes Hwy & Willcocks Ave, Narooma, New South Wales, 2546","(-36.222479984267835, 150.12713001581238, 0.0)"
233,1005,Woolworths Smkt,1275,Conder,9300633012755,Cnr Tharwa Drive and Box Hill Avenue,Gordon,Aust Capital Terr,2906,Mike Silleto,02 6132 9843,,09.11.1997,,"Cnr Tharwa Drive and Box Hill Avenue, Gordon, Aust Capital Terr 2906 Australia","Tharwa Dr & Box Hill Ave, Banks, Canberra, Australian Capital Territory, 2906","(-35.46415499665968, 149.09115000119954, 0.0)"
234,1005,Woolworths Smkt,1278,Cameron Park,9300633012786,Cnr George Booth Dr and Portland Dr,Cameron Park,New South Wales,2285,,02 4902 2761,,24.06.2020,,"Cnr George Booth Dr and Portland Dr, Cameron Park, New South Wales 2285 Australia","George Booth Dr & Portland Dr, Cameron Park, New South Wales, 2285","(-32.918240000921415, 151.59788001868776, 0.0)"
235,1005,Woolworths Smkt,1279,Gungahlin,9300633012793,31 Hibberson Street,Gungahlin,Aust Capital Terr,2912,Dragan Cerveni,02 6132 9846,,07.07.1998,,"31 Hibberson Street, Gungahlin, Aust Capital Terr 2912 Australia","31 Hibberson St, Gungahlin, Canberra, Australian Capital Territory, 2912","(-35.18514553589004, 149.1329328481272, 0.0)"
236,1005,Woolworths Smkt,1280,Kooringal,9300633012809,"Shop 41- 51, Lake Albert Road",Wagga Wagga,New South Wales,2650,Sandra Mellen,02 6932 5108,,01.07.1996,,"Shop 41- 51, Lake Albert Road, Wagga Wagga, New South Wales 2650 Australia","41 Lake Albert Rd, Kooringal, Wagga Wagga, New South Wales, 2650","(-35.12409230001462, 147.3782145452584, 0.0)"
237,1005,Woolworths Smkt,1282,Warringah Mall,9300633012823,Pittwater Road,Brookvale,New South Wales,2100,Tony Krezo,02 9308 7382,,04.10.1998,,"Pittwater Road, Brookvale, New South Wales 2100 Australia","Pittwater Rd, Brookvale, Sydney, New South Wales, 2100","(-33.76551827243621, 151.27005190515965, 0.0)"
238,1005,Woolworths Smkt,1284,Hurstville,9300633012847,Cnr Cross St and Park Rd,Hurstville,New South Wales,2220,Joe Buck,02 8565 9341,,18.11.2015,,"Cnr Cross St and Park Rd, Hurstville, New South Wales 2220 Australia","Cross St & Park Rd, Hurstville, Sydney, New South Wales, 2220","(-33.96551999448124, 151.1049299831991, 0.0)"
239,1005,Woolworths Smkt,1286,Caddens Werrington SM,9300633012861,Corner OConnell Street,Caddens,New South Wales,2747,,02 9677 6401,,19.11.2020,,"Corner OConnell Street, Caddens, New South Wales 2747 Australia","O'Connell St, Caddens, Sydney, New South Wales, 2747","(-33.7704899971236, 150.73403998777925, 0.0)"
240,1005,Woolworths Smkt,1287,Tahmoor,9300633012878,Cnr Remembrance Drwy and Thirlmere Way,Tahmoor,New South Wales,2573,Charles Petrov,02 4677 6200,,01.04.2004,,"Cnr Remembrance Drwy and Thirlmere Way, Tahmoor, New South Wales 2573 Australia","Remembrance Dr & Thirlmere Way, Tahmoor, New South Wales, 2573","(-34.22198500447999, 150.59376003713987, 0.0)"
241,1005,Woolworths Smkt,1288,Blacktown,9300633012885,Cnr Alpha Street and Patrick Street,Blacktown,New South Wales,2148,Steven Holmes,02 9677 6438,,09.06.2005,,"Cnr Alpha Street and Patrick Street, Blacktown, New South Wales 2148 Australia","Alpha St & Patrick St, Blacktown, Sydney, New South Wales, 2148","(-33.77147000924287, 150.90597997927387, 0.0)"
242,1005,Woolworths Smkt,1293,Fairy Meadow,9300633012939,66 Princes Highway,Fairy Meadow,New South Wales,2519,David Claydon,02 4276 6021,,05.12.1999,,"66 Princes Highway, Fairy Meadow, New South Wales 2519 Australia","66 Princes Hwy, Fairy Meadow, Wollongong, New South Wales, 2519","(-34.39239980391804, 150.8941776728696, 0.0)"
243,1005,Woolworths Smkt,1294,Hornsby,9300633012946,Pacific Hwy and Edgeworth David Ave,Hornsby,New South Wales,2077,Steve Brown,02 9450 6712,,31.05.2001,,"Pacific Hwy and Edgeworth David Ave, Hornsby, New South Wales 2077 Australia","Pacific Hwy & Edgeworth David Ave, Hornsby, Sydney, New South Wales, 2077","(-33.7053800018995, 151.09907002705108, 0.0)"
244,1005,Woolworths Smkt,1297,Dural,9300633012977,"Round Cnr, 494-500 Old Northern Rd",Dural,New South Wales,2158,Alex Dingemans,02 9652 4028,,07.02.2002,,"Round Cnr, 494-500 Old Northern Rd, Dural, New South Wales 2158 Australia","500 Old Northern Rd, Dural, Sydney, New South Wales, 2158","(-33.693981870866374, 151.01852546959117, 0.0)"
245,1005,Woolworths Smkt,1302,Albion Park,9300633013028,Cnr Terry and Russell Streets,Albion Park,New South Wales,2527,Jeff Harrison,02 4232 6403,,08.11.1998,,"Cnr Terry and Russell Streets, Albion Park, New South Wales 2527 Australia","Terry St & Russell St, Albion Park, New South Wales, 2527","(-34.57259999335399, 150.7755800293645, 0.0)"
246,1005,Woolworths Smkt,1304,Delroy Park,9300633013042,Cnr Minore and Bairds Roads,Delroy Park,New South Wales,2830,Gai Hicks,02 6881 7610,,10.12.2010,,"Cnr Minore and Bairds Roads, Delroy Park, New South Wales 2830 Australia","Delroy, 25L Minore Rd, Dubbo, New South Wales, 2830","(-32.25293486018336, 148.5607263206321, 0.0)"
247,1005,Woolworths Smkt,1305,Narrabri North,9300633013059,181-189 Maitland Street,Narrabri,New South Wales,2390,Ted Bray,02 6790 9000,,06.10.2005,,"181-189 Maitland Street, Narrabri, New South Wales 2390 Australia","181-189 Maitland St, Narrabri, New South Wales, 2390","(-30.32235637322178, 149.78095154733444, 0.0)"
248,1005,Woolworths Smkt,1306,Cecil Hills,9300633013066,Cnr Sandringham Drive and Fedore Road,Cecil Hills,New South Wales,2171,Olga Lokteeva,02 8785 3630,,24.10.1999,,"Cnr Sandringham Drive and Fedore Road, Cecil Hills, New South Wales 2171 Australia","Sandringham Dr & Feodore Dr, Cecil Hills, Sydney, New South Wales, 2171","(-33.88757500047217, 150.8490499671777, 0.0)"
249,1005,Woolworths Smkt,1307,Forbes,9300633013073,134 Rankin Street,Forbes,New South Wales,2871,Matthew Radburn,02 6850 8400,,18.06.2009,,"134 Rankin Street, Forbes, New South Wales 2871 Australia","134 Rankin St, Forbes, New South Wales, 2871","(-33.385744087112016, 148.0057774428305, 0.0)"
250,1005,Woolworths Smkt,1308,Leeton,9300633013080,Cnr Palm and Wamoon Avenue,Leeton,New South Wales,2705,Craig Holden,02 6981 3500,,06.06.1999,,"Cnr Palm and Wamoon Avenue, Leeton, New South Wales 2705 Australia","Palm Ave & Wamoon Ave, Leeton, New South Wales, 2705","(-34.55146001630996, 146.3986799849191, 0.0)"
251,1005,Woolworths Smkt,1310,Bathurst City Centre,9300633013103,210 Howick Street,Bathurst,New South Wales,2795,Claudine Mardini,02 6330 8007,,19.03.2009,,"210 Howick Street, Bathurst, New South Wales 2795 Australia","210 Howick St, Bathurst, New South Wales, 2795","(-33.41910188245545, 149.5815766647372, 0.0)"
252,1005,Woolworths Smkt,1311,Nambucca Heads,9300633013110,Cnr Fraser and Back Streets,Nambucca Heads,New South Wales,2448,Janita Henry,02 6598 4100,,11.07.1999,,"Cnr Fraser and Back Streets, Nambucca Heads, New South Wales 2448 Australia","Fraser St & Back St, Nambucca Heads, New South Wales, 2448","(-30.64364000253549, 153.00352995889426, 0.0)"
253,1005,Woolworths Smkt,1313,North Orange,9300633013134,8 Telopea Way,Orange,New South Wales,2800,,02 6363 5105,,01.12.2011,,"8 Telopea Way, Orange, New South Wales 2800 Australia","8 Telopea Way, Orange, New South Wales, 2800","(-33.254282533025325, 149.10194833857412, 0.0)"
254,1005,Woolworths Smkt,1316,Charlestown Square,9300633013165,30 Pearson Street,Charlestown,New South Wales,2290,Craig Masterson,02 4902 2726,,27.08.2010,,"30 Pearson Street, Charlestown, New South Wales 2290 Australia","30 Pearson St, Charlestown, Newcastle, New South Wales, 2290","(-32.964057914430306, 151.6938439252292, 0.0)"
255,1005,Woolworths Smkt,1317,Macquarie Fields,9300633013172,Cnr Harold St and Victoria Rd,Macquarie Fields,New South Wales,2564,Paul Spratt,02 8785 3633,,07.06.2011,,"Cnr Harold St and Victoria Rd, Macquarie Fields, New South Wales 2564 Australia","Harold St & Victoria Rd, Macquarie Fields, Sydney, New South Wales, 2564","(-33.98478001541681, 150.8933200365367, 0.0)"
256,1005,Woolworths Smkt,1318,Crows Nest,9300633013189,Cnr Falcon and Alexander Streets,Crows Nest,New South Wales,2065,,02 8565 9336,,28.04.2016,,"Cnr Falcon and Alexander Streets, Crows Nest, New South Wales 2065 Australia","Falcon St & Alexander St, Crows Nest, Sydney, New South Wales, 2065","(-33.82781999363928, 151.20191002786248, 0.0)"
257,1005,Woolworths Smkt,1321,Lake Cathie,9300633013219,Lot 2 Ocean Drive,Lake Cathie,New South Wales,2445,Randall Cook,02 5525 5205,,17.06.2004,,"Lot 2 Ocean Drive, Lake Cathie, New South Wales 2445 Australia","2 Ocean Dr, Lake Cathie, Bonny Hills, New South Wales, 2445","(-31.563420233260718, 152.84323464599527, 0.0)"
258,1005,Woolworths Smkt,1323,Prospect,9300633013233,Cnr Flushcombe Road and Myrtle Street,Prospect,New South Wales,2148,Peter Panagiotopoulos,02 9677 6441,,04.06.2000,,"Cnr Flushcombe Road and Myrtle Street, Prospect, New South Wales 2148 Australia","Flushcombe Rd & Myrtle St, Prospect, Sydney, New South Wales, 2148","(-33.795025001184555, 150.90470999521423, 0.0)"
259,1005,Woolworths Smkt,1325,Yass,9300633013257,Cnr Comur and Polding Streets,Yass,New South Wales,2582,Tony Dixon,02 6118 7000,,12.12.2002,,"Cnr Comur and Polding Streets, Yass, New South Wales 2582 Australia","Comur St & Polding St, Yass, New South Wales, 2582","(-34.845445002357216, 148.91424000212655, 0.0)"
260,1005,Woolworths Smkt,1326,Belmont,9300633013264,Cnr Macquarie and Singleton Streets,Belmont,New South Wales,2280,Michael Bersford,02 4902 2729,,09.12.2008,,"Cnr Macquarie and Singleton Streets, Belmont, New South Wales 2280 Australia","Macquarie St & Singleton St, Belmont, New South Wales, 2280","(-33.03593001004119, 151.65939002840753, 0.0)"
261,1005,Woolworths Smkt,1327,Woolgoolga,9300633013271,"Cnr Pacific Hwy, Pullen and Mackay St",Woolgoolga,New South Wales,2456,Matthew Kemsley,02 6690 8750,,10.03.2015,,"Cnr Pacific Hwy, Pullen and Mackay St, Woolgoolga, New South Wales 2456 Australia","Pullen St & Mackay St, Woolgoolga, New South Wales, 2456","(-30.112879998103196, 153.18913999627767, 0.0)"
262,1005,Woolworths Smkt,1328,South Penrith,9300633013288,"Southlands S/c, 2 Birmingham Road",South Penrith,New South Wales,2750,Ian Murphy,02 4723 2510,,03.12.2009,,"Southlands S/c, 2 Birmingham Road, South Penrith, New South Wales 2750 Australia","2 Birmingham Rd, South Penrith, Sydney, New South Wales, 2750","(-33.77407204535514, 150.6964110260347, 0.0)"
263,1005,Woolworths Smkt,1331,Gregory Hills SM,9300633013318,Cnr Gregory Hills Drive and Village,Gregory Hills,New South Wales,2557,,02 4646 9329,,11.04.2019,,"Cnr Gregory Hills Drive and Village, Gregory Hills, New South Wales 2557 Australia","Gregory Hills Dr & Village Cirt, Gregory Hills, Sydney, New South Wales, 2557","(-34.02537001018663, 150.77634999099018, 0.0)"
264,1005,Woolworths Smkt,1332,Burwood,9300633013325,"Shop 6, Lvl 3, Burwood Road",Burwood,New South Wales,2134,Anthony Downes,02 8565 9224,,17.08.2000,,"Shop 6, Lvl 3, Burwood Road, Burwood, New South Wales 2134 Australia","3 Burwood Rd, Burwood, Sydney, New South Wales, 2134","(-33.86968684562933, 151.1047749179903, 0.0)"
265,1005,Woolworths Smkt,1335,Moree,9300633013356,215 Balo Street,Moree,New South Wales,2400,Shane Hillier,02 6751 3300,,12.10.1999,,"215 Balo Street, Moree, New South Wales 2400 Australia","215 Balo St, Moree, New South Wales, 2400","(-29.46723628764378, 149.84075064297798, 0.0)"
266,1005,Woolworths Smkt,1336,Emerald Hills SM,9300633013363,Cnr Raby rd and Camden Valley Way,Emerald Hills,New South Wales,2179,,02 8785 3673,,03.06.2020,,"Cnr Raby rd and Camden Valley Way, Emerald Hills, New South Wales 2179 Australia","Raby Rd & Camden Valley Way, Gledswood Hills, Leppington, New South Wales, 2179","(-33.99382999818485, 150.7877399915772, 0.0)"
267,1005,Woolworths Smkt,1338,Kings Langley,9300633013387,Cnr James Cook Drive and Ravenhill St,Kings Langley,New South Wales,2147,Andrew .,02 9677 6444,,26.07.2001,,"Cnr James Cook Drive and Ravenhill St, Kings Langley, New South Wales 2147 Australia","James Cook Dr & Ravenhill St, Kings Langley, Sydney, New South Wales, 2147","(-33.74211000452848, 150.9227400137683, 0.0)"
268,1005,Woolworths Smkt,1339,Top Ryde,9300633013394,Cnr Devlin Street and Blaxland Road,Top Ryde,New South Wales,2112,John Casamento,02 9308 7343,,05.11.2009,,"Cnr Devlin Street and Blaxland Road, Top Ryde, New South Wales 2112 Australia","Devlin St & Blaxland Rd, Ryde, Sydney, New South Wales, 2112","(-33.81291998727849, 151.10488002705614, 0.0)"
269,1005,Woolworths Smkt,1341,West Ryde,9300633013417,14 Anthony Road,West Ryde,New South Wales,2114,Michael Carr,02 9308 7346,,13.10.2005,,"14 Anthony Road, West Ryde, New South Wales 2114 Australia","14 Anthony Rd, West Ryde, Sydney, New South Wales, 2114","(-33.8065641158291, 151.08836591760087, 0.0)"
270,1005,Woolworths Smkt,1343,Dunlop,9300633013431,Lot 4 68 Lance Hill Avenue,Dunlop,Aust Capital Terr,2615,Darrell Lovekin,02 6132 9849,,13.10.2011,,"Lot 4 68 Lance Hill Avenue, Dunlop, Aust Capital Terr 2615 Australia","68 Lance Hill Av, Dunlop, Canberra, Australian Capital Territory, 2615","(-35.195307128688, 149.02101526456931, 0.0)"
271,1005,Woolworths Smkt,1344,Toronto,9300633013448,Cnr Pemell St and Brighton Avenues,Toronto,New South Wales,2283,Jeff Gay,02 4902 2732,,26.11.2000,,"Cnr Pemell St and Brighton Avenues, Toronto, New South Wales 2283 Australia","Pemell St & Brighton Ave, Toronto, New South Wales, 2283","(-33.01490999898636, 151.59653002936233, 0.0)"
272,1005,Woolworths Smkt,1345,Scone,9300633013455,35 Main Street,Scone,New South Wales,2337,Sandy Simpson,02 6521 5000,,30.07.2000,,"35 Main Street, Scone, New South Wales 2337 Australia","35 Main St, Scone, New South Wales, 2337","(-32.04781627843521, 150.86877480655386, 0.0)"
273,1005,Woolworths Smkt,1346,Tumut,9300633013462,Cnr Herlihy and Fitzroy Streets,Tumut,New South Wales,2720,Francis Camey,02 6941 2100,,18.09.2000,,"Cnr Herlihy and Fitzroy Streets, Tumut, New South Wales 2720 Australia","Herlihy St & Fitzroy St, Tumut, New South Wales, 2720","(-35.3001499852632, 148.22464997331826, 0.0)"
274,1005,Woolworths Smkt,1347,Kellyville,9300633013479,88 Wrights Road,Kellyville,New South Wales,2155,Anton Van-den-berg,02 9677 6447,,28.11.2002,,"88 Wrights Road, Kellyville, New South Wales 2155 Australia","88 Wrights Rd, Kellyville, Sydney, New South Wales, 2155","(-33.71359862560108, 150.9712647790887, 0.0)"
275,1005,Woolworths Smkt,1348,Glenwood,9300633013486,Glenwood Park Drive,Glenwood,New South Wales,2768,Steven Clark,02 9677 6450,,10.09.2000,,"Glenwood Park Drive, Glenwood, New South Wales 2768 Australia","Glenwood Park Dr, Glenwood, Sydney, New South Wales, 2768","(-33.72690253193614, 150.93440982714438, 0.0)"
276,1005,Woolworths Smkt,1350,Glenmore Park,9300633013509,Cnr Town Terrace and Glenmore Pway,Glenmore Park,New South Wales,2745,Colin Rodda,02 4723 2514,,10.12.2000,,"Cnr Town Terrace and Glenmore Pway, Glenmore Park, New South Wales 2745 Australia","Town Ter & Glenmore Pkwy, Glenmore Park, Sydney, New South Wales, 2745","(-33.79064000853833, 150.6694000077757, 0.0)"
277,1005,Woolworths Smkt,1351,Campbelltown Market Fair,9300633013516,Cnr Tindall Street and Kellicar Road,Campbelltown,New South Wales,2560,Leonnee Lyons,02 4646 9318,,26.06.2009,,"Cnr Tindall Street and Kellicar Road, Campbelltown, New South Wales 2560 Australia","Tindall St & Kellicar Rd, Campbelltown, Sydney, New South Wales, 2560","(-34.072959983755354, 150.8035999773087, 0.0)"
278,1005,Woolworths Smkt,1353,Inverell,9300633013530,Cnr Vivian and Sweaney Streets,Inverell,New South Wales,2360,Shane Mccoullough,02 6721 7102,,16.11.2000,,"Cnr Vivian and Sweaney Streets, Inverell, New South Wales 2360 Australia","Vivian St & Sweaney St, Inverell, New South Wales, 2360","(-29.772289995929363, 151.11190003860366, 0.0)"
279,1005,Woolworths Smkt,1358,Charnwood,9300633013585,Charnwood Place,Charnwood,Aust Capital Terr,2615,Mick Mcinally,02 6132 9852,,26.06.2004,,"Charnwood Place, Charnwood, Aust Capital Terr 2615 Australia","Charnwood Pl, Charnwood, Canberra, Australian Capital Territory, 2615","(-35.20470739129967, 149.03259009497074, 0.0)"
280,1005,Woolworths Smkt,1364,Beecroft,9300633013646,Cnr Hannah St and Beecroft Rd,Beecroft,New South Wales,2119,,02 9450 6727,,20.09.2017,,"Cnr Hannah St and Beecroft Rd, Beecroft, New South Wales 2119 Australia","Hannah St & Beecroft Rd, Beecroft, Sydney, New South Wales, 2119","(-33.749480002443065, 151.06454002254856, 0.0)"
281,1005,Woolworths Smkt,1366,Ermington,9300633013660,Betty Cuthbert Avenue,Ermington,New South Wales,2115,Phil Walker,02 8633 2922,,08.11.1993,,"Betty Cuthbert Avenue, Ermington, New South Wales 2115 Australia","Betty Cuthbert Ave, Ermington, Sydney, New South Wales, 2115","(-33.81431461164283, 151.05425012592588, 0.0)"
282,1005,Woolworths Smkt,1368,Pemulwuy,9300633013684,Cnr Butu Wargun Dr and Greystanes Rd,Pemulwuy,New South Wales,2145,Corey Rodziewicz,02 8633 2925,,08.09.2005,,"Cnr Butu Wargun Dr and Greystanes Rd, Pemulwuy, New South Wales 2145 Australia","Butu Wargun Dr & Greystanes Rd, Pemulwuy, Sydney, New South Wales, 2145","(-33.817609997381275, 150.9338300260407, 0.0)"
283,1005,Woolworths Smkt,1369,Beresfield,9300633013691,Cnr Lawson and Newton Streets,Beresfield,New South Wales,2322,Darren Towill,02 4902 2735,,14.09.1999,,"Cnr Lawson and Newton Streets, Beresfield, New South Wales 2322 Australia","Lawson Ave & Newton St, Beresfield, New South Wales, 2322","(-32.80123001560626, 151.65772001801884, 0.0)"
284,1005,Woolworths Smkt,1372,Bega,9300633013721,106 Auckland Street,Bega,New South Wales,2550,Matthew Jorgensen,02 6494 8502,,02.12.2011,,"106 Auckland Street, Bega, New South Wales 2550 Australia","106 Auckland St, Bega, New South Wales, 2550","(-36.67569518865817, 149.84102414447864, 0.0)"
285,1005,Woolworths Smkt,1375,Windsor Supermarket,9300633013752,"Windsor Town S/centre, Kable Street",Windsor,New South Wales,2756,Matthew Walsh,02 4588 9007,,14.05.2009,,"Windsor Town S/centre, Kable Street, Windsor, New South Wales 2756 Australia","Kable St, Windsor, New South Wales, 2756","(-33.605725616300006, 150.82128910477766, 0.0)"
286,1005,Woolworths Smkt,1377,Hurstville East Quarter SM,9300633013776,89 Durham Street,Hurstville,New South Wales,2220,,02 9305 1005,,12.10.2022,,"89 Durham Street, Hurstville, New South Wales 2220 Australia","89 Durham St, Hurstville, Sydney, New South Wales, 2220","(-33.96772116607415, 151.1113453242515, 0.0)"
287,1005,Woolworths Smkt,1380,Umina,9300633013806,"Cnr Bulliion, West and Trafalgar Sts",Umina,New South Wales,2257,David Cooper,02 4343 9716,,17.06.2010,,"Cnr Bulliion, West and Trafalgar Sts, Umina, New South Wales 2257 Australia","West St & Trafalgar Ave, Umina Beach, Central Coast, New South Wales, 2257","(-33.52170000249599, 151.3208600046676, 0.0)"
288,1005,Woolworths Smkt,1386,Wetherill Park,9300633013868,Cnr Polding and Restwell Streets,Wetherill Park,New South Wales,2164,Chris Davis,02 8785 3636,,07.06.2001,,"Cnr Polding and Restwell Streets, Wetherill Park, New South Wales 2164 Australia","Polding St & Wetherill St, Wetherill Park, Sydney, New South Wales, 2164","(-33.858859983207125, 150.9163499860635, 0.0)"
289,1005,Woolworths Smkt,1387,Unanderra,9300633013875,Cnr Victoria Street and Princes H-way,Unanderra,New South Wales,2526,Lube Stevanoski,02 4276 6024,,06.11.2003,,"Cnr Victoria Street and Princes H-way, Unanderra, New South Wales 2526 Australia","Victoria St & Princes Hwy, Unanderra, Wollongong, New South Wales, 2526","(-34.456169993829064, 150.84357997907495, 0.0)"
290,1005,Woolworths Smkt,1388,Mt Annan,9300633013882,Main Street,Mt Annan,New South Wales,2567,Colin Maughan,02 4646 9321,,05.04.2001,,"Main Street, Mt Annan, New South Wales 2567 Australia","Main St, Mount Annan, Sydney, New South Wales, 2567","(-34.04913034089567, 150.7583591509678, 0.0)"
291,1005,Woolworths Smkt,1389,Moruya,9300633013899,61-63 Queen Street,Moruya,New South Wales,2537,Daniel Robinson,02 4474 8900,,19.06.2000,,"61-63 Queen Street, Moruya, New South Wales 2537 Australia","63 Queen St, Moruya, New South Wales, 2537","(-35.91072310037479, 150.08156741507423, 0.0)"
